sku,mpn,manufacturer,description,datasheet,rated_current,poles,packaging_uom,weight_kg,order_code
S201M-C16UC,S201M-C16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,1,10 pcs,0.125 kg,2CDS271061R0164
S201M-C20UC,S201M-C20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,1P,10 pcs,0.125 kg,2CDS271061R0204
S201M-C25UC,S201M-C25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,1,10 pcs,0125 kg,2CDS271061R0254
S201M-C32UC,S201M-C32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,1,10 pcs,0.125 kg,2CDS271061R0324
S201M-C40UC,S201M-C40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,1,10 pcs,0.125 kg,2CDS271061R0404
S201M-C50UC,S201M-C50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,1,10 pcs,0.125 kg,2CDS271061R0504
S201M-C63UC,S201M-C63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,1,10 pcs,0.125 kg,2CDS271061R0634
S202M-C0.5UC,S202M-C0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,2,5 pcs,0.250 kg,2CDS272061R0984
S202M-C1UC,S202M-C1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,2,5 pcs,0.250 kg,2CDS272061R0014
S202M-C1.6UC,S202M-C1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6.1 A,2,5 pcs,0.250 kg,2CDS272061R0974
S202M-C2UC,S202M-C2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,2,5 pcs,0.250 kg,2CDS272061R0024
S202M-C3UC,S202M-C3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,2,5 pcs,0.250 kg,2CDS272061R0034
S202M-C4UC,S202M-C4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,2,5 pcs,0.250 kg,2CDS272061R0044
S202M-C6UC,S202M-C6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,2,5 pcs,0.250 kg,2CDS272061R0064
S202M-C8UC,S202M-C8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,2,5 pcs,0.250 kg,2CDS272061R0084
S202M-C10UC,S202M-C10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,2,Each,0.250 kg,2CDS272061R0104
S202M-C13UC,S202M-C13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,2,5 pcs,0.250 kg,2CDS272061R0134
S202M-C16UC,S202M-C16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,2,5 pcs,0.250 kg,2CDS272061R0164
S202M-C20UC,S202M-C20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,2,5 pcs,0.250 kg,2CDS272061R0204
S202M-C25UC,S202M-C25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,2,5 pcs,0.250 kg,2CDS272061R0254
S202M-C32UC,S202M-C32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,2,5 pcs,0.250 kg,2CDS272061R0324
S202M-C40UC,S202M-C40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,2,5 pcs,0.250 kg,2CDS272061R0404
S202M-C50UC,S202M-C50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,2P,5 pcs,0.250 kg,2CDS272061R0504
S202M-C63UC,S202M-C63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,2P,5 pcs,0.250 kg,2CDS272061R0634
S203M-C0.5UC,S203M-C0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,3,1 pcs,0.375 kg,2CDS273061R0984
S203M-C1UC,S203M-C1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,3,1 pcs,0.375 kg,2CDS273061R0014
S203M-C1.6UC,S203M-C1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,3,1 pcs,375 g,2CDS273061R0974
S203M-C2UC,S203M-C2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,3,1 pcs,0375 kg,2CDS273061R0024
S203M-C3UC,S203M-C3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,3,1 pcs,0.375 kg,2CDS273061R0034
S203M-C4UC,S203M-C4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,3,1 pcs,0.375 kg,2CDS273061R0044
S203M-C6UC,S203M-C6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,3,1 pcs,0.375 kg,2CDS273061R0064
S203M-C8UC,S203M-C8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,3,1 pcs,0.375 kg,2CDS273061R0084
S203M-C10UC,S203M-C10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,3,1 pcs,0375 kg,2CDS273061R0104
S203M-C13UC,S203M-C13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,3,1 pcs,375 g,2CDS273061R0134
S203M-C16UC,S203M-C16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,3,1 pcs,0.375 kg,2CDS273061R0164
S203M-C20UC,S203M-C20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,3,Each,0.375 kg,2CDS273061R0204
S203M-C25UC,S203M-C25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,3,1 pcs,0.375 kg,2CDS273061R0254
S203M-C32UC,S203M-C32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,3,1 pcs,0.375 kg,2CDS273061R0324
S203M-C40UC,S203M-C40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,3,1 pcs,0.375 kg,2CDS273061R0404
S203M-C50UC,S203M-C50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,3,1 pcs,0.375 kg,2CDS273061R0504
S203M-C63UC,S203M-C63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,3,1 pcs,0.375 kg,2CDS273061R0634
S201M-K0.2UC,S201M-K0.2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.2 A,1,10 pcs,0.125 kg,2CDS271061R0087
S201M-K0.3UC,S201M-K0.3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.3 A,1,10 pcs,0.125 kg,2CDS271061R0117
S201M-K0.5UC,S201M-K0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,1,10 pcs,0.125 kg,2CDS271061R0157
S201M-K0.75UC,S201M-K0.75UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.75 A,1P,10 pcs,0.125 kg,2CDS271061R0187
S201M-K1UC,S201M-K1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,1,10 pcs,0.125 kg,2CDS271061R0217
S201M-K1.6UC,S201M-K1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6.1 A,1,10 pcs,0.125 kg,2CDS271061R0257
S201M-K2UC,S201M-K2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,1,10 pcs,0.125 kg,2CDS271061R0277
S201M-K3UC,S201M-K3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,1,10 pcs,0.125 kg,2CDS271061R0317
S201M-K4UC,S201M-K4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,1,Each,0.125 kg,2CDS271061R0337
S201M-K5UC,S201M-K5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,1,10 pcs,0.125 kg,2CDS271061R0357
S201M-K6UC,S201M-K6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,1,10 pcs,0.125 kg,2CDS271061R0377
S201M-K8UC,S201M-K8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,1,10 pcs,0.125 kg,2CDS271061R0407
S201M-K10UC,S201M-K10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,1,10 pcs,0.125 kg,2CDS271061R0427
S201M-K13UC,S201M-K13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,1,10 pcs,125 g,2CDS271061R0447
S201M-K15UC,S201M-K15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,15 A,1,10 pcs,0.125 kg,2CDS271061R0457
S201M-K16UC,S201M-K16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,1,10 pcs,0.125 kg,2CDS271061R0467
S201M-K20UC,S201M-K20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,02 A,1,10 pcs,0.125 kg,2CDS271061R0487
S201M-K25UC,S201M-K25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,1,10 pcs,0.125 kg,2CDS271061R0517
S201M-K30UC,S201M-K30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,1,10 pcs,0.125 kg,2CDS271061R0527
S201M-K32UC,S201M-K32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,1,10 pcs,0125 kg,2CDS271061R0537
S201M-K35UC,S201M-K35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,1,10 pcs,0125 kg,2CDS271061R0547
S201M-K40UC,S201M-K40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,1,10 pcs,0.125 kg,2CDS271061R0557
S201M-K50UC,S201M-K50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,1,10 pcs,0.125 kg,2CDS271061R0577
S201M-K60UC,S201M-K60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,1,10 pcs,0.125 kg,2CDS271061R0587
S201M-K63UC,S201M-K63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,1,10 pcs,0.125 kg,2CDS271061R0607
S202M-K0.2UC,S202M-K0.2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2.0 A,2,5 pcs,0.250 kg,2CDS272061R0087
S202M-K0.3UC,S202M-K0.3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.3 A,2,5 pcs,0.250 kg,2CDS272061R0117
S202M-K0.5UC,S202M-K0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,2P,5 pcs,0.250 kg,2CDS272061R0157
S202M-K0.75UC,S202M-K0.75UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.75 A,2,5 pcs,0.250 kg,2CDS272061R0187
S202M-K1UC,S202M-K1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,2,5 pcs,0.250 kg,2CDS272061R0217
S202M-K1.6UC,S202M-K1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,2,5 pcs,0.250 kg,2CDS272061R0257
S202M-K2UC,S202M-K2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,2,5 pcs,0.250 kg,2CDS272061R0277
S202M-K3UC,S202M-K3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,2,5 pcs,0.250 kg,2CDS272061R0317
S202M-K4UC,S202M-K4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,2,5 pcs,0.250 kg,2CDS272061R0337
S202M-K5UC,S202M-K5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,2,5 pcs,0.250 kg,2CDS272061R0357
S202M-K6UC,S202M-K6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,2,5 pcs,0.250 kg,2CDS272061R0377
S202M-K8UC,S202M-K8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,2,5 pcs,0.250 kg,2CDS272061R0407
S202M-K10UC,S202M-K10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,2,5 pcs,0.250 kg,2CDS272061R0427
S202M-K13UC,S202M-K13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,2,5 pcs,0.250 kg,2CDS272061R0447
S202M-K15UC,S202M-K15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,15 A,2,5 pcs,0.250 kg,2CDS272061R0457
S202M-K16UC,S202M-K16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,61 A,2,5 pcs,0.250 kg,2CDS272061R0467
S202M-K20UC,S202M-K20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,2,5 pcs,0.250 kg,2CDS272061R0487
S202M-K25UC,S202M-K25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,2,5 pcs,0.250 kg,2CDS272061R0517
S202M-K30UC,S202M-K30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,2,5 pcs,0.250 kg,2CDS272061R0527
S202M-K32UC,S202M-K32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,2,5 pcs,0.250 kg,2CDS272061R0537
S202M-K35UC,S202M-K35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,2,5 pcs,0.250 kg,2CDS272061R0547
S202M-K40UC,S202M-K40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,2,5 pcs,0250 kg,2CDS272061R0557
S202M-K50UC,S202M-K50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,2,Each,0.250 kg,2CDS272061R0577
S202M-K60UC,S202M-K60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,2P,5 pcs,0.250 kg,2CDS272061R0587
S202M-K63UC,S202M-K63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,36 A,2,5 pcs,0.250 kg,2CDS272061R0607
S203M-K0.2UC,S203M-K0.2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.2 A,3,1 pcs,0.375 kg,2CDS273061R0087
S203M-K0.3UC,S203M-K0.3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.3 A,3,1 pcs,0.375 kg,2CDS273061R0117
S203M-K0.5UC,S203M-K0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,3,1 pcs,375 g,2CDS273061R0157
S203M-K0.75UC,S203M-K0.75UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.75 A,3,1 pcs,0375 kg,2CDS273061R0187
S203M-K1UC,S203M-K1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,3,1 pcs,0.375 kg,2CDS273061R0217
S203M-K1.6UC,S203M-K1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,3,1 pcs,0.375 kg,2CDS273061R0257
S203M-K2UC,S203M-K2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,3,1 pcs,375 g,2CDS273061R0277
S203M-K3UC,S203M-K3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,3,1 pcs,0.375 kg,2CDS273061R0317
S203M-K4UC,S203M-K4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,3,Each,0.375 kg,2CDS273061R0337
S203M-K5UC,S203M-K5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,3,1 pcs,0.375 kg,2CDS273061R0357
S203M-K6UC,S203M-K6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,3,1 pcs,0.375 kg,2CDS273061R0377
S203M-K8UC,S203M-K8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,3,1 pcs,0.375 kg,2CDS273061R0407
S203M-K10UC,S203M-K10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,3P,1 pcs,0.375 kg,2CDS273061R0427
S203M-K13UC,S203M-K13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,3,1 pcs,0.375 kg,2CDS273061R0447
S203M-K15UC,S203M-K15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,15 A,3,1 pcs,0.375 kg,2CDS273061R0457
S203M-K16UC,S203M-K16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,3,1 pcs,0.375 kg,2CDS273061R0467
S203M-K20UC,S203M-K20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,3,1 pcs,0.375 kg,2CDS273061R0487
S203M-K25UC,S203M-K25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,3,1 pcs,0.375 kg,2CDS273061R0517
S203M-K30UC,S203M-K30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,3,1 pcs,375 g,2CDS273061R0527
S203M-K32UC,S203M-K32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,3,1 pcs,0.375 kg,2CDS273061R0537
S203M-K35UC,S203M-K35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,3,1 pcs,0.375 kg,2CDS273061R0547
S203M-K40UC,S203M-K40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,3,1 pcs,0.375 kg,2CDS273061R0557
S203M-K50UC,S203M-K50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,05 A,3,1 pcs,0.375 kg,2CDS273061R0577
S203M-K60UC,S203M-K60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,3,1 pcs,0.375 kg,2CDS273061R0587
S203M-K63UC,S203M-K63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,3,1 pcs,0.375 kg,2CDS273061R0607
S204M-K0.2UC,S204M-K0.2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.2 A,4,1 pcs,0.500 kg,2CDS274061R0087
S204M-K0.3UC,S204M-K0.3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.3 A,4,1 pcs,0.500 kg,2CDS274061R0117
